Trip Energy Consumption,Vehicle ID,Trip Distance,Time of Day,Day of the Week,Longitude,Latitude,Speed,Current,Total Voltage,Maximum Cell Temperature of Battery,Minimum Cell Temperature of Battery,Trip Time Length
0.672,1,6,10.33333333,4,121.4979483,31.28157417,246,2.583348283,308.2833333,31,30.83333333,13
0.896,1,6,16,4,121.5875639,31.25606986,393.7142857,2.985729043,304.4857143,29,28,18
1.344,1,7,16.09090909,2,121.5769682,31.26203436,192,2.354560355,308.4636364,31.27272727,30,21
1.344,1,8,19,5,121.5497087,31.25779592,369.24,1.540014952,308.06,30,30,16
0.896,1,6,14.16666667,6,121.5822799,31.21503022,413.4506173,9.659891542,304.4734568,28,28,129
1.344,1,6,18.5483871,6,121.5899798,31.28423826,175.8387097,-1.912888329,304.6483871,29,29,18
1.12,1,6,14,2,121.5079152,31.28133,671.3333333,11.7833485,302.6666667,29.75,27.66666667,9
2.24,1,12,9.675675676,3,121.5593376,31.26008386,337.9459459,6.072987876,308.8216216,30,29,21
1.344,1,9,19,3,121.5563432,31.25802067,275.5,8.823824979,307.9642857,31,30.57142857,27
1.792,1,12,14.35119048,4,121.5640005,31.1633644,97.10714286,11.09108641,304.4690476,30.93452381,29.9047619,133
0.896,1,8,16,4,121.5726402,31.21138859,559.2758621,-1.999985228,304.6896552,31,30,21
1.12,1,6,14,4,121.5266018,31.26786132,577.2682927,43.10733417,302.802439,31.80487805,30.80487805,20
1.12,1,7,19,6,121.5446225,31.26047009,306.9130435,5.721753854,308.0956522,27,26.56521739,14
1.12,1,7,9.46875,5,121.5802085,31.24676288,208.4375,7.500015059,304.715625,24,24,18
1.344,1,8,19.54285714,6,121.5457169,31.26026891,168.6285714,9.525728997,307.0828571,28,28,20
1.12,1,6,8,3,121.5500399,31.29324537,798.625,28.23751525,300.6375,21,20,7
4.704,1,23,11.36526946,6,121.538705,31.28075946,49.35329341,3.001212516,305.4035928,16.71257485,15.74850299,190
2.912,1,15,20.07086614,6,121.5981109,31.27203135,45.28346457,2.974030689,303.6448819,15,14.91338583,157
2.016,1,12,8.748663102,2,121.5337735,31.24611903,44.71657754,2.520335817,308.613369,20.82352941,19.90374332,162
1.568,1,9,17.16911765,2,121.5191291,31.27625896,51.39705882,4.520603064,307.9051471,20,19.88235294,143
2.688,1,13,19,2,121.5665628,31.26190565,174.5294118,6.294132747,306.5470588,20,19.70588235,32
1.344,1,8,16,2,121.5336722,31.26125008,273.8461538,2.723091631,303.9153846,17,16.53846154,17
2.912,1,16,19.875,2,121.6004049,31.27153741,58.40178571,2.63930062,303.7232143,17.79464286,17,157
1.12,1,6,7.508474576,3,121.6051997,31.27319815,57.73728814,1.297472529,303.1966102,17,16.93220339,144
1.12,1,7,18.52631579,5,121.5953454,31.27918747,45.57894737,1.673699169,308.5035088,17,17,88
1.568,1,11,11.66666667,6,121.5190613,31.28234511,89.77777778,4.233348244,305.6222222,16.88888889,16.88888889,106
1.568,1,10,20,6,121.601744,31.27000483,54.25,-0.949985175,304.85,18,18,140
2.016,1,13,8.991666667,4,121.4785941,31.26714935,42.20833333,1.514181584,307.26,15.99166667,15.98333333,153
1.344,1,7,18.31531532,4,121.5085258,31.29101622,28.32432432,2.784699666,305.4324324,16,16,143
2.688,1,16,21.58450704,4,121.5973579,31.27537263,82.0915493,5.656353016,303.6492958,17,16.90140845,150
2.24,1,15,16.00657895,6,121.5271209,31.27947056,43.16447368,2.098699142,308.5493421,19,18.90789474,162
2.016,1,13,20.0859375,6,121.6000777,31.26845674,62.765625,4.182827546,307.3117187,19.9296875,19.859375,145
4.032,1,22,8.94214876,2,121.490646,31.26849845,99.34710744,2.515717355,307.568595,14.83471074,12.91735537,176
4.032,1,19,17.71428571,2,121.5575368,31.27221286,191.8333333,6.830967221,303.2333333,11.66666667,10.71428571,67
5.824,1,26,8.54887218,3,121.4994563,31.26960006,93.48120301,4.239112685,306.4398496,9.646616541,7.714285714,177
4.032,1,21,12.34042553,3,121.5748053,31.27367864,200.0638298,6.206398094,302.8468085,9.574468085,8.489361702,63
1.12,1,7,13.57333333,6,121.6055702,31.27298336,39.61333333,0.985348231,307.3933333,11,11,97
3.136,1,18,15.81967213,6,121.5289089,31.27965411,68.57377049,1.748375523,305.0139344,12.86885246,12.81967213,165
2.688,1,14,19.68333333,6,121.5991803,31.2701796,54.8,3.477514915,303.5816667,13.93333333,13.89166667,151
3.136,1,16,11.25531915,6,121.5271964,31.27709579,80.29078014,4.844695826,301.8028369,7.893617021,7.80141844,159
3.584,1,16,14.56521739,6,121.5960849,31.26962866,39.90434783,3.69305842,298.3286957,10.62608696,10.6,159
4.704,1,25,8.894736842,2,121.4855026,31.26725368,5.147368421,0.784225429,306.0463158,9.842105263,8.852631579,180
3.808,1,18,17.68571429,2,121.5435501,31.27292849,18.54285714,2.237157796,303.8114286,9.542857143,9.057142857,77
6.272,1,25,8.88372093,3,121.4880678,31.26686102,8.104651163,1.467456783,306.8395349,8.779069767,6.802325581,183
4.48,1,18,17.76,3,121.5625846,31.27027784,37.92,8.29201494,301.708,8.48,8.36,65
4.032,1,17,11.24528302,6,121.5314774,31.28103096,9.547169811,1.438694168,308.0584906,14.74528302,12.83018868,184
3.136,1,14,19.79268293,6,121.6055353,31.27137056,3.280487805,2.212210015,304.4378049,12.98780488,12.95121951,146
2.24,1,8,11.01980198,5,121.5175099,31.23391747,5.98019802,2.240608977,303.5455446,8,7.920792079,151
2.24,1,13,16.15384615,5,121.5734807,31.26312754,26.11538462,1.530784142,303.9076923,10.42307692,9.807692308,60
2.24,1,13,12.20909091,6,121.5222249,31.2788534,8.663636364,0.665469449,308.4909091,13.94545455,12.94545455,165
4.928,1,27,8.802469136,3,121.4834507,31.26766022,14.51851852,1.008656885,308.2283951,13.90123457,11.91358025,185
3.584,1,20,17.94594595,3,121.5722542,31.27242766,23.31428571,1.648663529,305.1459459,14.81081081,14.64864865,84
2.688,1,15,10.95238095,5,121.5225795,31.28025785,9.276190476,0.652395848,308.14,11.85714286,11.81904762,158
1.568,1,9,19,5,121.5497084,31.231828,67.44444444,1.833348267,306.9,14.88888889,14,19
4.032,1,23,9.025316456,0,121.4952099,31.26573422,12.88607595,0.978495916,308.3544304,15.83544304,14.92405063,190
3.584,1,19,17.77272727,0,121.5583217,31.27044391,57.45454545,-0.163621468,305.9181818,16.77272727,16.77272727,68
5.376,1,25,8.933333333,1,121.4845506,31.2705801,78.86666667,1.671126032,307.6933333,13.98888889,12.93333333,197
3.808,1,20,17.75,1,121.5585579,31.27016748,37.56521739,1.312514945,305.2375,14.95833333,14.75,71
5.152,1,25,8.86746988,2,121.4982205,31.26889824,102.8192771,2.00483419,307.246988,13.63855422,11.84337349,184
0.896,1,6,13.53061224,6,121.6063307,31.27165249,9.448979592,0.734708794,303.1632653,9.918367347,9,93
5.824,1,22,8.865168539,0,121.4972913,31.26606615,95.35955056,2.306756555,307.0067416,13.60674157,11.78651685,192
4.704,1,19,17.875,0,121.5689915,31.26930263,27.8125,8.275014962,303.13125,13,12.875,63
5.824,1,22,9.080808081,1,121.4979421,31.27054127,57.55555556,4.936378622,306.0272727,11.81818182,9.868686869,203
4.928,1,20,17.66666667,1,121.5571634,31.27507257,16.64285714,7.453348387,303.68,13,12.66666667,59
5.824,1,21,8.835164835,2,121.492716,31.26573378,51.25274725,10.52199301,304.4120879,9.582417582,7.582417582,181
5.152,1,19,17.58333333,2,121.5404009,31.27240914,23.90909091,2.158348271,304.0666667,11.54166667,11.45833333,60
6.048,1,21,8.895348837,3,121.4872212,31.26578131,97.58139535,7.418619623,304.2732558,9.709302326,7.709302326,173
3.808,1,19,17.94444444,3,121.5494636,31.27259944,41.83333333,3.055570517,304.05,12.5,11.66666667,50
2.912,1,15,18.80263158,5,121.6023884,31.27195666,4.684210526,1.196067534,305.5407895,12.88157895,11.96052632,119
4.032,1,21,10.57575758,6,121.4657358,31.26454879,72.63636364,4.496984436,305.6454545,12.63636364,11.48484848,60
1.344,1,9,11,6,121.4410232,31.305565,34.61538462,0.184630277,304.9,13,11.92307692,25
5.6,1,30,12.36734694,6,121.5414256,31.26676586,37.34693878,1.651035298,303.4102041,13.46938776,12.30612245,100
6.72,1,22,8.759615385,1,121.4929899,31.26715443,115.4423077,5.090399612,304.8403846,8.634615385,6.596153846,173
2.24,1,7,17.53333333,1,121.4971376,31.28152427,47.86666667,5.85334832,302.7733333,11,10.46666667,28
4.256,1,18,9.189473684,2,121.4841404,31.26530229,35.2,5.611593948,305.3642105,9.873684211,7.873684211,167
4.256,1,19,18.84210526,2,121.5792118,31.27247949,1.131578947,1.265804396,304.0236842,11.89473684,11.89473684,162
3.36,1,13,10.79775281,5,121.5188867,31.28045863,6.08988764,7.092149831,300.9134831,3.93258427,2.95505618,145
5.824,1,21,9.894230769,0,121.4802186,31.26676276,70.01923077,1.556745676,304.8894231,3.788461538,1.846153846,171
5.152,1,18,18.60759494,0,121.5720285,31.27003081,10.37974684,5.748116256,301.4025316,8.620253165,8.607594937,126
3.808,1,19,9.013888889,3,121.4810752,31.26696372,4.958333333,2.868070546,307.1847222,10.91666667,9.930555556,160
5.6,1,21,8.878787879,4,121.4918242,31.2688401,25.06060606,11.79294428,305.6656566,12.87878788,11.76767677,170
4.928,1,19,17.88888889,4,121.5573547,31.27318215,39.96296296,3.474089064,303.7037037,12,11.74074074,65
2.016,1,9,15.82352941,5,121.5736047,31.24526965,5.470588235,6.914720874,305.7617647,9.941176471,8.941176471,68
2.24,1,11,20.45121951,4,121.60597,31.27196654,0.365853659,0.926844173,303.4719512,10.98780488,10.98780488,139
1.792,1,10,10.42424242,6,121.5198906,31.27986452,5.444444444,1.464661466,307.9676768,6.949494949,5.939393939,145
